原数据,标签
1 你好 我 有一个 华夏 财富 一号 两全保险 然后 我 现在 没有 到期 想 提前 取 你 帮 我看看 我 这 本金， 能 拿 多少？ #,1 退保劝阻
1 呃 就是 有一个 保单 想 退保 是吧！ #,1 退保劝阻
1 您 是 要 退掉 对 吗？ 嗯 对。 #,1 退保劝阻
1 退保。 #,1 退保劝阻
1 退保 的 话。 #,1 退保劝阻
1 如果 现在 我 就 说 打个比方 我 现在 如果 要 退 的 话 现在 那个 没有 多少钱 他 给我？ #,1 退保劝阻
1 现金价值 有 多少 了？ 呃 那 退 退保 的 话 要不要。 #,1 退保劝阻
1 哎 明白 那 我 我 有 份 保单 我 昨天 没 插 完 能 给我 看一下 有 一张 单子 我 要 退 能 退 多少钱！ #,1 退保劝阻
1 嗯 其他 的 我 问一下 那 如果 现在 要是 想 退 的 话 呢 这个 大概 会 按照 一定 的 比例 或者 怎么样 的？ #,1 退保劝阻
1 很高兴 为你服务 你好。 您 是 我 在 那个 邮电局 就 买了一份 那个 你们 华夏 公司 那个 保险 但是 我 之前 她 不知道 是 一份 保险 就是 买 的 保险 你们 就是 在 邮政银行 他们 一份 这个 保险 就是 我 我 刚才 办 的 业务 我 现在 想 退 了。 我 现在 应该 就 可以 退 吧 但是 我 还 没 拿到 保单。 #,1 退保劝阻
1 我 说 那 可以 可以 可以 可以 退 啊！ #,1 退保劝阻
1 退 这个 保险。 #,1 退保劝阻
1 哎 你好 那个 我 一会 把 我的 西安 吧 那个 我想 停 咯 他！ #,1 退保劝阻
1 您好 阳光人寿 很高兴 为您服务。 哎 你好 你好 先生！ 那个 我 那个 保险 想 退 多天 打 一遍 电话 了 那个。 你们 这个。 #,1 退保劝阻
1 你 帮 我看 一下 那个 就是 身份证 变更 一下 吗 就 说 买 了 这个 华夏 保险？ 嗯 他 在 那个 就是 要 退保 不 不 了。 #,1 退保劝阻
1 哎 我 那个 保单 我 是 现在 我 不买 了 能不能 退 呀！ #,1 退保劝阻
1 我 要 退 的 那个 保险。 #,1 退保劝阻
1 呃 我 是 网银 我 不是 前两天 证券 买 了 份 保险 嘛 我 现在 想 退保 唻。 #,1 退保劝阻
1 哎 你好！ 那个 我 那个 不是 一直 申请 退保 了 吗？ 弓箭 零幺零 那 边 的 九三 零零 给我 打电话 是不是 啊！ 呃 现在 打个 九五 三六零 亲戚 退保。 #,1 退保劝阻
1 呃 我 我 我 要 把 那个 保险 退 了 是不是 这样 打电话 过去 就 可以 了？ #,1 退保劝阻
1 喂 你好。 嗯 零零 零零 你 帮 我 那个 什么 这 什么 就 好像 保 那 保险 退 了 吧！ #,1 退保劝阻
1 我 诶 你 给我 退 几个 保单？ #,1 退保劝阻
1 对 我 有一个 我 每年 交 两万 的 那个 你 把 它 退 了 吧！ #,1 退保劝阻
1 嗯 我 是 想 咨询一下 这个 退保 吗？ #,1 退保劝阻
1 我想 问一下 我 就是 这个 保险 我想 退 了 怎么 退 啊！ #,1 退保劝阻
1 哎 您好 是 这样 我 之前 办 了 一个 那个！ 嗯 华夏 我的 一个 保单 然后 我 现在 选 的 犹豫 期内 退保。 #,1 退保劝阻
1 那 你 那 你 现在 帮 我 申请 退保。 #,1 退保劝阻
1 嗯 我 那个， 如果 我 现在 不想买 了 怎么办？ #,1 退保劝阻
1 现在 我们家 的 系统。 嗯 能 下来 呢 他们 说 不用 买？ 我想 退掉 你 十分 的 话。 #,1 退保劝阻
1 我 我想 退 一个 我 最近 买 的 那个 单子。 #,1 退保劝阻
1 我想 那个 退保 的 三份 保险 退 了。 #,1 退保劝阻
1 啊 我想 问一下 嗯 办理 退保 是不是 打 这个 电话！ #,1 退保劝阻
1 喂 你好 我 就是 刚刚 打电话 要 退 那个 娱乐 保 的。 那个。 #,1 退保劝阻
1 就是 我 那个 那个 娱乐 的 通过 银行 购买 的 两份 保单 我想 退 了。 #,1 退保劝阻
1 保单 现在 都是 没有 那个 不能够 取出来。 #,1 退保劝阻
1 嗯 你好 我 这边 给您 做 保单 我想 问一下 退保 的 流程。 #,1 退保劝阻
1 喂 你好 就是 我 这边 想 退 两份 保单。 #,1 退保劝阻
1 不 你 直接 帮 我 对 保 吧！ #,1 退保劝阻
1 是 一五年 买 的 就是 说 我 现在 才 进 起来。 就 说 我 如果 要 赎回 要 怎么 样子 赎回？ #,1 退保劝阻
1 诶 你好 我 这 好像 是 买 的 保险 把 它 退 了。 #,1 退保劝阻
1 那您 是 投保人 本人 吗？  #,1 退保劝阻
1 投保人 的 证件号码。  #,1 退保劝阻
1 好的 那 保单 可不可以 退 了。  #,1 退保劝阻
1 喂 你好 我 没有 退 那个 华 就 那个。  #,1 退保劝阻
1 有。 嗯 幺零 二二， 您 让 投保人 本人 接下 电话 谢谢。 那 是 比较。 嗯 喂 你好 您好 女士 您 叫什么 名字？ 噢 上学 呀！ 女士 这个 是 财富宝 两全保险 分红型 这份 保险 您 当时 交 三万 交 三年 保险期间 是 六年 的 六年 是 满期 到 满期 按照 退还 您 嗯 十万 零 三千 四百一十 元 加上 分红 的 还是 非常不错 的 出于 什么 原因 现在 想 退掉 它 了？ 嗯。  #,1 退保劝阻
1 我想 问一下 我 在 你的 退保 什么 时候 讲说 我？  #,1 退保劝阻
1 好的 请问您 是 投保人 本人 吗？  #,1 退保劝阻
1 呃 然后 想 问一下 现在 那个 如果 退保 的 话 要， 怎么 就 那个 金额 怎么样？  #,1 退保劝阻
1 好的 您 稍等， 请问您 是 投保人 吗？ 对。 请问您 叫什么 名字 呢？  #,1 退保劝阻
1 我 现在 想 退保， 我 一下。  #,1 退保劝阻
1 六六 八八 好 这边 跟您 核对一下 身份 请问 投保人 叫什么 名字 呢？ 啊！ 请问 投保人 叫什么 名字 呢？ 王 海洋， 请问您 是 这个 投保人 本人 吗 是？ 嗯 您 说 您 在 想 在 这个 犹豫期之内 进行 退保 是吗？ 对  #,1 退保劝阻
1 我的 意思 我 现在 都 不问 你 这个 了 我 刚才 这样 一下 讲 的 我的 意思 说 现在 我 如果 退保 的 话 能 退 多少钱？  #,1 退保劝阻
1 呃 你好 帮 我 查一下 我 这个 保单 的 钱 取 了 买。  #,1 退保劝阻
1 但是 我 这 一 后面 办 了 一个 退保 我 问 的 是 怎么 号码 多少 您 给我 查查？  #,1 退保劝阻
1 是 怎么回事 您 提供 一下 您的 身份证号 帮您 看一下？  #,1 退保劝阻
1 退保 的 话， 嗯 就是， 大概 还 能 退 多少钱 的？  #,1 退保劝阻
1 请问您 叫什么 名字 呐？  #,1 退保劝阻
1 这个 险 怎么 取消？  #,1 退保劝阻
1 哦 我 是 咱 那个 苍 天 复查 问卷 他 那个 那个 保险 钱 我 现在！ 呃 把 那个 常青 藤 那个。 保险 那个 退 了。 我 现在 不 记得 交 的 话。  #,1 退保劝阻
1 六 不是 可以 退保 那天 是不是 哈？  #,1 退保劝阻
1 先生 我 是 说 解除 保单。  #,1 退保劝阻
1 嗯 我 现在 还 没 退 了 行 我 在 想 我 就， 行 然后 那个 我 要 退 的 话 可以 退 吗 就 必须 要 本人 去 吗 让 他 给我 打电话 就 行 了？  #,1 退保劝阻
1 加 前提， 您 名下 有 一份 常青树 二零一五 这个 保单 您 要 退掉 是吗？ 啊 您 您 名下 是 有一个 常青树 重大疾病保险 二零一五 的 那 这个 保单 您 需要 退掉。  #,1 退保劝阻
1 然后 最近 那个 保单。 投保 的 过程中 出点 问题 就是。 嗯 所以我 现在 打算 把 那个 保险 暂停 取消。  #,1 退保劝阻
1 嗯 您 是 想 把 那个。 保单 退掉 是吗？ 因为 因为 之前。  #,1 退保劝阻
1 我 昨天 不是 买 那个 保险 我 不想买 了。  #,1 退保劝阻
1 你好 那个 我 我 要 退保。  #,1 退保劝阻
1 哦 喂 你好 就是 说 哦 我！ 把 那个 就是 有一个。 社保 就是 说 我想 退掉 现在 还 在 犹豫期 是吧！  #,1 退保劝阻
1 想 退保。 这个 退 退保 呀 我 这 有 急事 然后 我 就 可以。  #,1 退保劝阻
1 啊 对 我 刚 有 打电话 说 我 要 取消 我的 一个 保单 因为 在 犹豫期 啊 他 他 说 是 要 这个 呃 投保 那个 电话 办理 没用 现在 打过来 行不行！  #,1 退保劝阻
1 啊 你好 我！ 呃 七月 二十五号 买 的 那个 华夏 保险 我 要 退保。  #,1 退保劝阻
1 范 好 我 重 的 一个 吧！ 嗯 我 闲 在家里 出来 就是 我想 退保 的。  #,1 退保劝阻
1 那 谢谢 啊 嗯 不客气 请问 本次 通话 是否 满意。  #,1 退保劝阻
1 那 现在 如果 我想 退保 的 话 我 一个月 怎么办？  #,1 退保劝阻
1 打个比方 我 要是 退 的 话 怎么 退？ 退保 的 话 就 到 您 当时 办理 的 银行 或 到 公司 柜面 去 申请 现在 保单 还 在 犹豫。  #,1 退保劝阻
1 保险 还 在 犹豫期 然后 我想 要 退保。  #,1 退保劝阻
1 哦 我 是！ 我 就 存 三年 我 刚才 对 对吧 好像 买了一份 保险。 我想 退保 的 他们 是 最后 一天 了 再 到 总公司 总公司 才 能 退 啊！  #,1 退保劝阻
1 呃 买 的 是 十万元 的。 我 我 我想 问一下 可不可以 退 呀！  #,1 退保劝阻
1 三个 工作日内。 那么 他 这个 如果 我 感觉 这个 后来 告诉我 之后 我 感觉 这个 保险 不 合适 我 能不能 退 呀！ 嗯。  #,1 退保劝阻
1 我 现在 在 犹豫期 我 有点 想 把 它 退 了那 要 扣 多少钱  #,1 退保劝阻
1 诶 你 这个 你 那个 保险 可不可以 退 嘞！  #,1 退保劝阻
1 那 我 我想 问一下 就是 说 那个 买 了 保险 然后 在 犹豫期 犹豫期 撤保 的 话 说 还 扣 什么 费用 了 是吧！  #,1 退保劝阻
1 喂 你好 我 就是 想 问一下 这个 我 现在 想， 昨天 才 买 的 这个 保险 嘛 不是 银行 买 的 嗯。 但是 我 现在 不想买 了 我 试 着 去 银行 去 弄 啊！  #,1 退保劝阻
1 嗯 我 现在 是 有个 这种 情况 就是 我 我 我 就 不 会用 一些 了解 嘛 然后 对 我 这个 保单 它 是 一个 分红型 的 我 现在 想想 想 就是， 买一个 就是 这种 固定收益 了。 所以 这个 保单 的 话 我 现在 我想 想 退掉 吧！  #,1 退保劝阻
1 哦 您 是 说 不满意 想 退保 是吗！  #,1 退保劝阻
1 喂 你好。 就 说 退 你 帮 我 找 他 可以 划， 过来 参加 这个 保险 了 之后 啊！  #,1 退保劝阻
1 哦 就是 我 那个 保险 我 不想 保 了 他 那个 费用 都 已经 退掉 了！  #,1 退保劝阻
1 呃 我想 说 之前 我 买 的 那个 保险 我 现在 退 的 幺 六年 买 的 现在 我 交不起 那个 保险 退 了。  #,1 退保劝阻
1 申请 退保。  #,1 退保劝阻
1 啊 你好 我想 问一下 去年 我 通 的 话 要是 说 保险 今年 不需要 什么 了！ 如果 我想 退 的 话 你 需要 什么 手续 啊！  #,1 退保劝阻
1 啊 你好 我 这边 在 那个 一五年 的 时候 买 了 一个 华夏 财富 一号 两全保险！ 我 现在 想 退单 退 保单 怎么办 呢 在 你们 这 可以直接 电话 办理 嘛？  #,1 退保劝阻
1 啊 我想 问一下 那个 我 现在 我 不想 续保 了 想 退保 能不能 把 那个 就是！  #,1 退保劝阻
1 我 之前 买了一份， 客户 昨天 那个 保单 我想。 嗯 麻烦 帮， 我 查一下 如果 现在 退保 的 话， 呃 能 退 多少钱？  #,1 退保劝阻
1 我 要 终止。  #,1 退保劝阻
1 终止 没什么 原因 终止 先生？  #,1 退保劝阻
1 如果 请教 一下 事情 啊！ 那个 保单 那个 可以 取消 对吧！  #,1 退保劝阻
1 退保 是 我想 退保 能 退 多少钱？  #,1 退保劝阻
1 您 说 您 想 退保 是吗？  #,1 退保劝阻
1 想 退保 呢 就是 不知道？ 能不能 退 俺。  #,1 退保劝阻
1 哦！ 呃 就是 现在 那 那 这 这个 这 这 这个 保 那个 保单 不想 要 了 我想 给 退 了。  #,1 退保劝阻
1 其他 银行 的 你们 那个 其他 银行 代理 你们 家 了 一定 的 保险。 完成 了 退 了。  #,1 退保劝阻
1 嗯 就是 我想 问一下 我 我 我想 退 退保 哦！ 怎么 怎么 怎么 操作？  #,1 退保劝阻
1 骗 骗 我 骗 我 呢 我 那个 保修 也 没给 我 办 就 说 你们 那个 你们 公司 跟 那个 王 王 先生 你 就 打 那个 电话？ 是 这样 的 话 大哥 我 交 我 退保。 我 我 就 我 就 想 保 是。  #,1 退保劝阻
1 昨天 的 话 呢？ 买 了 一个 那个 什么？ 去年 去年 十月份 买 什么 时候 买 买 了 买了一份 保险 我 现在 不想 要 了 想 退 了？  #,1 退保劝阻
1 哎 那个 的 话 我 这边 买 的 那个 保险 那 块 啊 就是 说 一定是 今天 就是 说 已经 是 那 好 了 已经 是 到 了 到 了 的 话 呢 我 这边 呢 就是 说 保险 的 话 我 觉得 我的 意思 说 的 话！ 直接 给我 的 保险 然后 我 就 撤保 你 像 这样 的 这样 的 可以 可以。  #,1 退保劝阻
1 哎 你好 我想 我想 问一下 那个 我 之前 办 的 那个 保险 现在 能不能 退 了！  #,1 退保劝阻
1 喂 你好 麻烦 我想 退保 我。  #,1 退保劝阻
1 我 就 去年 就是 交了 一份 那个 没事 记得 保险 了 我们 今年 没 打算 交到 他 这个 扣款 的 自动 费用 过 银行卡 里面 扣款 的 这个 东西 能不能 退 的。  #,1 退保劝阻
1 啊 你好 我想 问一下 我 是 一 七年 买 的 那个 福临门 的 保险 了 我 我 要是 退保 的 话 呀 大概 可以 退 多少钱！  #,1 退保劝阻
1 嗯 那个 我想 咨询一下 这个 可以 退保 退保 怎么 退？  #,1 退保劝阻
1 嗯 感谢您 配合 女士 现在 要 终止 合同 是吗？  #,1 退保劝阻
1 诶 你好 我想 咨询一下 我 就是 去年 存 了 一个 那个 两万块钱 是 从 零 三年 五年 五年 再 取 的 这种。 对 这种 的 吧 我 现在 想 把 它 取出来。  #,1 退保劝阻
1 的 分区 啊 我 就是 说 我 这个 钱 我 等着 急用 了 我 能不能 取出来。  #,1 退保劝阻
1 我 现在 退 的 话 会不会 对 我的 本金。  #,1 退保劝阻
1 呃 然后 我 还 想 问一下 就是 说 我想。 因为 有点 事 嘛 我想 取出来 行 的 行 拜。  #,1 退保劝阻
1 现在 想 出去 了。  #,1 退保劝阻
1 您 是 黄 现在 这个 长青 长青 常青树 重大疾病保险 一六年 全款 的 那个。 一个 保险 我想 我想 退掉 嗯。  #,1 退保劝阻
1 我的 保单 如果 现在 退保 能 退 多少钱 的？  #,1 退保劝阻
1 保费 就是， 嗯 就 说 我 现在 都 没有钱 之后 能不能 退 退掉。  #,1 退保劝阻
0 四五 八八 稍等。 为保障 客户 信息安全 需要 与您 做 信息 核对 您 是 投保人 本人 吗？ 您的 名字 是。 您的 身份证号 是。  #,0 确认是否投保人本人
0 我的 是否 您的 信息安全 需要 坐下 核对 请问您 是 投保人 本人 吗？  #,0 确认是否投保人本人
0 稍等。 嗯 好的 先生 请问您 是 投保人 本人 吗？  #,0 确认是否投保人本人
0 您 稍等。 请问您 是 投保人 本人 吗？  #,0 确认是否投保人本人
0 好的 那 请您 提供 一下 报案人 的 信息。 您 就是 王 传 超 先生 本人 是吗？  #,0 确认是否投保人本人
0 嗯， 您 是 投保人 本人 吗？  #,0 确认是否投保人本人
0 请问您 是 投保人 吗？  #,0 确认是否投保人本人
0 零幺二 六四 零 二二 是吗 对 对 对 那 请问 一下 您 就是 出险人 本人 是吗？ 对 请问您 叫什么 名字 女生？ 没 挺 好的 您 刚 说 现在 在 医院 做一个 治疗 是 因为 什么 原因 在 医院 做 的 一个 住院治疗 呢？  #,0 确认是否投保人本人
0 五幺 九四， 好的 请问 一下 您 是 投保人 本人 吗 先生 嗯？ 您 叫什么 名字 呢 王 超 好的 信息 核实 成功 请稍等？ 这边 看到 您 这个 八月 八号 和 您 刚才 来电 我 这边 看到 之前 工作人员 帮您 反馈 这个 工单 了。  #,0 确认是否投保人本人
0 好的 请您 是 投保人 本人 吗？  #,0 确认是否投保人本人
0 您好 先生 请问您 是 投保人 本人 吗？  #,0 确认是否投保人本人
0 啊 我 查 下 保单 您 是 投保人 本人 吗！  #,0 确认是否投保人本人
0 请问您 是 投保人 本人 吗？ 对， 叫什么 名字？  #,0 确认是否投保人本人
0 嗯 请问您 是 投保人 本人 吗？  #,0 确认是否投保人本人
0 为了 保证 信息安全 请 协助 身份验证 请问您 是 投保人 本人 吗？  #,0 确认是否投保人本人
0 您 是 投保人 本人 吗？  #,0 确认是否投保人本人
0 好的。 嗯 稍等 嗯。 嗯 行 那您 来 做 一下 身份验证 先生 请问您 就是 投保人 本人 是吧！ 四四 四 嗯 那 请问 一下 您 叫什么 名字？  #,0 确认是否投保人本人
0 投保人 本人 吗？  #,0 确认是否投保人本人
0 这个 吧！ 嗯 那 投保人 是 您 本人 吗？ 嗯 就是 保 的 嗯 您的 身份证号 提供 一下 我 查看 一下。  #,0 确认是否投保人本人
0 嗯嗯 就是。 嗯嗯 就是 您 是 叫 周 才 觉得 是 您 本人 出险 了 是吗？  #,0 确认是否投保人本人
0 是 投保人 本人 吗？ 对。 哦！  #,0 确认是否投保人本人
0 您好 女士 那 请问您 是 投保人 本人 吗？ 对。  #,0 确认是否投保人本人
0 医保 错 等待期 是 三 十天 的 您 是 投保人 本人 吗 女士？  #,0 确认是否投保人本人
0 女士 请问您 是 从 本人 是吗？  #,0 确认是否投保人本人
0 您好 先生 为了维护 您的 信息安全 请您 协助 完成 身份验证 请问您 是 投保人 本人 吗？ 是 嗯 请问您。  #,0 确认是否投保人本人
0 好的 请问您 是的， 好的 请问您 是 投保人 本人 吗？  #,0 确认是否投保人本人
0 请问您 是 投保人 吗？  #,0 确认是否投保人本人
0 请问您 是 保单 的 投保人 本人。  #,0 确认是否投保人本人
0 请问您 是 投保人 吗？ 对， 嗯 请问 叫什么 名字 邮件？ 就是 您 带 的 交费 卡里 现在 足够 的 保费 是吧！ 对 对 对。 那 你 等 它 自动 划款 就 可以 了。  #,0 确认是否投保人本人
0 请问您 是 投保人 吗？ 是的， 请问 您的 姓名 女士。  #,0 确认是否投保人本人
0 四二零 幺二幺。 一九八三 嗯。 幺幺 幺六 嗯， 二七 二七。 请问您 是 投保人 吗？ 嗯 我姓 杨 呃 您 叫什么 名字 锕？ 行 原 嗯 那 想 敢 身份证， 您 是 想 给 这个 农业银行 的 卡 是吧 您 有 三个人 看 的 话 这边 可以 帮您申请 变更？  #,0 确认是否投保人本人
0 好的 女士 请问您 是 投保人 本人 吗？  #,0 确认是否投保人本人
0 您好 为了 确保您 的 信息安全 这边 与您 核实一下 信息 请问您 是 投保人 本人 吗 是？ 请问 您的 姓名 是。  #,0 确认是否投保人本人
0 嗯 请问您 是 投保人 吗？  #,0 确认是否投保人本人
0 嗯 您 是 投保人 是吗？ 那您 说一下 您的 身份证号码。  #,0 确认是否投保人本人
0 您 是 投保人 嘛。  #,0 确认是否投保人本人
0 嗯 那您 是 投保人 吗？ 呃 被保险人 的 姓名 叫什么 呀！  #,0 确认是否投保人本人
0 好的 为了维护 您 信息安全 请您 协助 为您 身份验证 您 是 投保人 本人 吗 女士？  #,0 确认是否投保人本人
0 六六 五七 八六。 四九 懂 八八。 对吧！ 幺四 零零 七八 七六。 四九 零 八八 是吗 啊 对 对 哦 稍等 一下？ 嗯 查询 到 了 请问您 是 投保人 本人 是吗？ 我 是 彻底 下。 嗯 您 叫什么 名字 锕？ 我 就 处理 过 啊 哦 是 您 跟您 爱人 购买 的 是吗？  #,0 确认是否投保人本人
0 嗯 请问 他是 保单号， 保单号 没有 是吗？ 那您 现在 来电 是 他 用 本人 幺三 六 原 电话 来电 呢？  #,0 确认是否投保人本人
0 嗯 感谢您 配合 请问您 是 投保人 本人 吗？  #,0 确认是否投保人本人
